model,predictor,std_coef,std_error,p_value,ci_low,ci_high
baseline,aaa_wRC+,5.5135668701256595,0.8985762353573931,1.763050676959998e-09,3.752357448825169,7.27477629142615
skill,aaa_BB%_zseason,2.639586665488098,0.9137292798561718,0.00404192238356104,0.8486772769700013,4.430496054006195
skill,aaa_K%_zseason,-3.5377177101718917,1.0237900774744333,0.0005979973016286861,-5.544346262021781,-1.5310891583220023
skill,aaa_ISO_zseason,5.479134327702646,1.018187648526564,1.1586504706770697e-07,3.48348653659058,7.474782118814711
skill,aaa_BABIP_zseason,0.4294342605770438,0.9000562785519189,0.6334942956103187,-1.3346760453847173,2.193544566538805
skill,age_at_debut,-1.91987432740697,0.9003979421547208,0.03349320421608913,-3.6846542940302225,-0.1550943607837174
kitchen_sink,aaa_BB%_zseason,2.7478813316093347,2.737187693510246,0.3159335949485636,-2.6170065476707474,8.112769210889416
kitchen_sink,aaa_K%_zseason,1.119531534754664,4.564724103964216,0.8063629768955477,-7.827327709015199,10.066390778524527
kitchen_sink,aaa_ISO_zseason,1.2422133408861953,6.140422314317319,0.8397678823071079,-10.79301439517575,13.27744107694814
kitchen_sink,aaa_BABIP_zseason,-4.390645900060921,4.73974213559536,0.3547351038025247,-13.680540485827827,4.8992486857059845
kitchen_sink,age_at_debut,-1.6762954585989696,0.9540900455046518,0.07956799092002056,-3.5463119477880873,0.193721030590148
kitchen_sink,aaa_wOBA,4.6231601431626,4.933732556887008,0.34920739005551815,-5.046955668335935,14.293275954661135
kitchen_sink,aaa_AVG,4.7208831879064235,4.67547828974843,0.313146617466785,-4.443054260000499,13.884820635813346
kitchen_sink,aaa_OBP,-2.1804828180616695,5.3737636869681875,0.6850979362116402,-12.713059644519317,8.352094008395978
kitchen_sink,aaa_SLG,-0.21706832136078447,5.732548878682109,0.9698104489155004,-11.452864123577717,11.018727480856148
