scenario,predictor,coef,p_value
impute_50,aaa_BB%_zseason_all,-0.03421981254872386,0.8435638176887296
impute_50,aaa_K%_zseason_all,-1.6962640780467073,4.039969436114044e-21
impute_50,aaa_ISO_zseason_all,2.880696569858366,1.595778953773546e-49
impute_50,aaa_BABIP_zseason_all,0.13858567361031282,0.4306093289476677
impute_50,age_last_aaa,0.40276911425100403,0.029486064286695233
impute_80,aaa_BB%_zseason_all,0.1039457801821867,0.26259431651586
impute_80,aaa_K%_zseason_all,-0.5405041753660776,1.77737039303315e-08
impute_80,aaa_ISO_zseason_all,1.1018597662152656,2.1565293661746083e-26
impute_80,aaa_BABIP_zseason_all,-0.01450762033434716,0.8774440546290607
impute_80,age_last_aaa,-0.32966450988171103,0.0008708987570824629
impute_100,aaa_BB%_zseason_all,0.19605617533612607,0.04711188771677533
impute_100,aaa_K%_zseason_all,0.2300024264210122,0.02412965252117245
impute_100,aaa_ISO_zseason_all,-0.08403143621347303,0.44373711059203147
impute_100,aaa_BABIP_zseason_all,-0.11656981629745353,0.24431305640275217
impute_100,age_last_aaa,-0.817953592636855,9.634964277100335e-15
